,tool_id,tool_name,version_range,severity,first_patched_version
0,15801,react,"["">= 0.0.1, < 0.14.0""]",high,"[""0.14.0""]"
1,15808,react-dom,"["">= 16.4.0, < 16.4.2"", "">= 16.3.0, < 16.3.3"", ""= 16.2.0"", "">= 16.1.0, < 16.1.2"", ""= 16.0.0""]",low,"[""16.4.2"", ""16.3.3"", ""16.2.1"", ""16.1.2"", ""16.0.1""]"
2,15818,express,"[""< 4.17.3""]",high,"[""4.17.3""]"
3,15823,request,"[""<= 2.88.2""]",moderate,[nil]
4,15827,node-sass,"["">= 2.0.0, < 7.0.0""]",moderate,"[""7.0.0""]"
5,15838,karma,"[""< 6.3.16""]",moderate,"[""6.3.16""]"
6,15847,moment,"["">= 2.18.0, < 2.29.4""]",high,"[""2.29.4""]"
7,15851,async,"["">= 3.0.0, < 3.2.2"", "">= 2.0.0, < 2.6.4""]",high,"[""3.2.2"", ""2.6.4""]"
8,15852,debug,"[""< 2.6.9"", "">= 3.0.0, < 3.1.0""]",high,"[""2.6.9"", ""3.1.0""]"
9,15862,axios,"[""< 0.21.2""]",high,"[""0.21.2""]"